Chemical,Type,State,Available,RName,CName,DName,Density1,Density2,Density3,Mm,Sol,Mp,Bp,KH,color1,alpha1,color2,alpha2,color3,alpha3,color4,alpha4,friction,restitution,JPN,CHN,TW,KR,Solk,MOH,KOH,MH,PTN
Undecane,Organic,Liquid,1,Undecane,Undecane,Undecane,0.74,1,0.001,156.31,0,-25.5,195.9,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Dodecane,Organic,Liquid,1,Dodecane,Dodecane,Dodecane,0.75,1,0.001,170.33,0,-9.6,216.3,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Tridecane,Organic,Liquid,1,Tridecane,Tridecane,Tridecane,0.76,1,0.001,184.36,0,-5.4,235.5,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Tetradecane,Organic,Liquid,1,Tetradecane,Tetradecane,Tetradecane,0.76,1,0.001,198.39,0,5.9,253.5,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Pentadecane,Organic,Liquid,1,Pentadecane,Pentadecane,Pentadecane,0.77,1,0.001,212.41,0,10,270.5,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Hexadecane,Organic,Solid,1,Hexadecane,Hexadecane,Hexadecane,0.77,1,0.001,226.44,0,18.2,287,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Heptadecane,Organic,Solid,1,Heptadecane,Heptadecane,Heptadecane,0.77,1,0.001,240.46,0,22,303,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Octadecane,Organic,Solid,1,Octadecane,Octadecane,Octadecane,0.78,1,0.001,254.49,0,28.2,316.7,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Nonadecane,Organic,Solid,1,Nonadecane,Nonadecane,Nonadecane,0.78,1,0.001,268.52,0,32,330,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Eicosane,Organic,Solid,1,Eicosane,Eicosane,Eicosane,0.79,1,0.001,282.55,0,36.8,343,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Ethylene,Organic,Gas,1,Ethylene,Ethylene,Ethylene,0.001,1,0.001,28.05,0,-169.4,-103.7,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Propylene,Organic,Gas,1,Propylene,Propylene,Propylene,0.001,1,0.001,42.08,0,-185.2,-47.6,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Butene,Organic,Gas,1,Butene,Butene,Butene,0.001,1,0.001,56.11,0,-185.3,-6.4,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Pentene,Organic,Liquid,1,Pentene,Pentene,Pentene,0.64,1,0.001,70.13,0,-165.2,30,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Hexene,Organic,Liquid,1,Hexene,Hexene,Hexene,0.67,1,0.001,84.16,0,-139.8,63.5,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Heptene,Organic,Liquid,1,Heptene,Heptene,Heptene,0.7,1,0.001,98.19,0,-119,93.6,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Octene,Organic,Liquid,1,Octene,Octene,Octene,0.71,1,0.001,112.21,0,-101.7,122.5,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Acetylene,Organic,Gas,1,Acetylene,Acetylene,Acetylene,0.001,1,0.001,26.04,0,-80.8,-84,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Propyne,Organic,Gas,1,Propyne,Propyne,Propyne,0.001,1,0.001,40.06,0,-102.7,-23.2,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Butyne,Organic,Gas,1,Butyne,Butyne,Butyne,0.001,1,0.001,54.09,0,-125.7,8.1,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Methanol,Organic,Liquid,1,Methanol,Methanol,Methanol,0.792,1,0.001,32.04,0,-97.6,64.7,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Ethanol,Organic,Liquid,1,Ethanol,Ethanol,Ethanol,0.789,1,0.001,46.07,0,-114.1,78.37,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Propanol,Organic,Liquid,1,Propanol,Propanol,Propanol,0.804,1,0.001,60.1,0,-126.2,97.2,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Isopropyl Alcohol,Organic,Liquid,1,Isopropyl Alcohol,Isopropyl Alcohol,Isopropyl Alcohol,0.786,1,0.001,60.1,0,-89.5,82.6,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Butanol,Organic,Liquid,1,Butanol,Butanol,Butanol,0.81,1,0.001,74.12,0,-89.5,117.7,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Isobutyl Alcohol,Organic,Liquid,1,Isobutyl Alcohol,Isobutyl Alcohol,Isobutyl Alcohol,0.802,1,0.001,74.12,0,-108,107.9,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Tert-Butyl Alcohol,Organic,Solid,1,Tert-Butyl Alcohol,Tert-Butyl Alcohol,Tert-Butyl Alcohol,0.786,1,0.001,74.12,0,25.7,82.4,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Pentanol,Organic,Liquid,1,Pentanol,Pentanol,Pentanol,0.81,1,0.001,88.15,0,-79,138,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Glycol,Organic,Liquid,1,Glycol,Glycol,Glycol,1.11,1,0.001,62.07,0,-13,197.3,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Glycerol,Organic,Liquid,1,Glycerol,Glycerol,Glycerol,1.261,1,0.001,92.09,0,17.8,290,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Ethylene Glycol,Organic,Liquid,1,Ethylene Glycol,Ethylene Glycol,Ethylene Glycol,1.11,1,0.001,62.07,0,-13,197.3,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Formaldehyde,Organic,Gas,1,Formaldehyde,Formaldehyde,Formaldehyde,0.815,1,0.001,30.03,0,-92,-19.1,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Acetaldehyde,Organic,Liquid,1,Acetaldehyde,Acetaldehyde,Acetaldehyde,0.78,1,0.001,44.05,0,-123.4,20.2,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Propionaldehyde,Organic,Liquid,1,Propionaldehyde,Propionaldehyde,Propionaldehyde,0.81,1,0.001,58.08,0,-80,48,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Butyraldehyde,Organic,Liquid,1,Butyraldehyde,Butyraldehyde,Butyraldehyde,0.8,1,0.001,72.11,0,-96,74.8,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Benzaldehyde,Organic,Liquid,1,Benzaldehyde,Benzaldehyde,Benzaldehyde,1.04,1,0.001,106.12,0,-26,178.8,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Acetone,Organic,Liquid,1,Acetone,Acetone,Acetone,0.784,1,0.001,58.08,0,-94.9,56.08,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Methyl Ethyl Ketone,Organic,Liquid,1,Methyl Ethyl Ketone,Methyl Ethyl Ketone,Methyl Ethyl Ketone,0.8,1,0.001,72.11,0,-86,79.6,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Methyl Propyl Ketone,Organic,Liquid,1,Methyl Propyl Ketone,Methyl Propyl Ketone,Methyl Propyl Ketone,0.81,1,0.001,86.13,0,-77,102.4,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Diethyl Ketone,Organic,Liquid,1,Diethyl Ketone,Diethyl Ketone,Diethyl Ketone,0.81,1,0.001,86.13,0,-42,102.7,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Acetophenone,Organic,Liquid,1,Acetophenone,Acetophenone,Acetophenone,1.03,1,0.001,120.15,0,19.6,202,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Benzophenone,Organic,Solid,1,Benzophenone,Benzophenone,Benzophenone,1.08,1,0.001,182.22,0,48.5,305,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Formic Acid,Organic,Liquid,1,Formic Acid,Formic Acid,Formic Acid,1.22,1,0.001,46.03,0,8.4,100.8,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Acetic Acid,Organic,Liquid,1,Acetic Acid,Acetic Acid,Acetic Acid,1.049,1,0.001,60.05,0,16.6,118.1,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Propionic Acid,Organic,Liquid,1,Propionic Acid,Propionic Acid,Propionic Acid,0.99,1,0.001,74.08,0,-20.7,141.1,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Butyric Acid,Organic,Liquid,1,Butyric Acid,Butyric Acid,Butyric Acid,0.964,1,0.001,88.11,0,-7.9,163.5,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Valeric Acid,Organic,Liquid,1,Valeric Acid,Valeric Acid,Valeric Acid,0.939,1,0.001,102.13,0,-34.5,186,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Benzoic Acid,Organic,Solid,1,Benzoic Acid,Benzoic Acid,Benzoic Acid,1.27,1,0.001,122.12,0,122.4,249.2,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Salicylic Acid,Organic,Solid,1,Salicylic Acid,Salicylic Acid,Salicylic Acid,1.44,1,0.001,138.12,0,159,211,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Oxalic Acid,Organic,Solid,1,Oxalic Acid,Oxalic Acid,Oxalic Acid,1.9,1,0.001,90.03,0,189.5,157,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Tartaric Acid,Organic,Solid,1,Tartaric Acid,Tartaric Acid,Tartaric Acid,1.76,1,0.001,150.09,0,171,0,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Citric Acid,Organic,Solid,1,Citric Acid,Citric Acid,Citric Acid,1.665,1,0.001,192.12,0,153,0,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Lactic Acid,Organic,Liquid,1,Lactic Acid,Lactic Acid,Lactic Acid,1.21,1,0.001,90.08,0,18,122,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Methyl Acetate,Organic,Liquid,1,Methyl Acetate,Methyl Acetate,Methyl Acetate,0.93,1,0.001,74.08,0,-98.1,56.9,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Ethyl Acetate,Organic,Liquid,1,Ethyl Acetate,Ethyl Acetate,Ethyl Acetate,0.9,1,0.001,88.11,0,-83.6,77.1,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Propyl Acetate,Organic,Liquid,1,Propyl Acetate,Propyl Acetate,Propyl Acetate,0.89,1,0.001,102.13,0,-95,101.5,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Butyl Acetate,Organic,Liquid,1,Butyl Acetate,Butyl Acetate,Butyl Acetate,0.88,1,0.001,116.16,0,-77.9,126.1,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Methyl Formate,Organic,Liquid,1,Methyl Formate,Methyl Formate,Methyl Formate,0.97,1,0.001,60.05,0,-99,32,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Ethyl Formate,Organic,Liquid,1,Ethyl Formate,Ethyl Formate,Ethyl Formate,0.92,1,0.001,74.08,0,-80.5,54.4,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Diethyl Ether,Organic,Liquid,1,Diethyl Ether,Diethyl Ether,Diethyl Ether,0.71,1,0.001,74.12,0,-116.3,34.6,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Dimethyl Ether,Organic,Gas,1,Dimethyl Ether,Dimethyl Ether,Dimethyl Ether,0.002,1,0.001,46.07,0,-141.5,-24.8,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Methyl Propyl Ether,Organic,Liquid,1,Methyl Propyl Ether,Methyl Propyl Ether,Methyl Propyl Ether,0.74,1,0.001,60.1,0,-112,39.1,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Tetrahydrofuran,Organic,Liquid,1,Tetrahydrofuran,Tetrahydrofuran,Tetrahydrofuran,0.89,1,0.001,72.11,0,-108.5,66,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Benzene,Organic,Liquid,1,Benzene,Benzene,Benzene,0.879,1,0.001,78.11,0,5.5,80.1,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Toluene,Organic,Liquid,1,Toluene,Toluene,Toluene,0.867,1,0.001,92.14,0,-95,110.6,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Xylene,Organic,Liquid,1,Xylene,Xylene,Xylene,0.86,1,0.001,106.16,0,-47,138,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Ethylbenzene,Organic,Liquid,1,Ethylbenzene,Ethylbenzene,Ethylbenzene,0.87,1,0.001,106.16,0,-95,136.2,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Cumene,Organic,Liquid,1,Cumene,Cumene,Cumene,0.86,1,0.001,120.19,0,-96,152.4,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Styrene,Organic,Liquid,1,Styrene,Styrene,Styrene,0.906,1,0.001,104.15,0,-30.2,145.2,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Naphthalene,Organic,Solid,1,Naphthalene,Naphthalene,Naphthalene,1.02,1,0.001,128.17,0,80.2,218,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Phenol,Organic,Solid,1,Phenol,Phenol,Phenol,1.07,1,0.001,94.11,0,40.5,181.9,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Aniline,Organic,Liquid,1,Aniline,Aniline,Aniline,1.022,1,0.001,93.13,0,-6.3,184.4,0.1,0xC4A000,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Nitrobenzene,Organic,Liquid,1,Nitrobenzene,Nitrobenzene,Nitrobenzene,1.2,1,0.001,123.11,0,5.7,210.8,0.1,0xFFFF00,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Chlorobenzene,Organic,Liquid,1,Chlorobenzene,Chlorobenzene,Chlorobenzene,1.11,1,0.001,112.56,0,-45.2,131.6,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Bromobenzene,Organic,Liquid,1,Bromobenzene,Bromobenzene,Bromobenzene,1.49,1,0.001,157.02,0,-30.9,156,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Iodobenzene,Organic,Liquid,1,Iodobenzene,Iodobenzene,Iodobenzene,1.83,1,0.001,203.02,0,-29.3,188.3,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Chloroform,Organic,Liquid,1,Chloroform,Chloroform,Chloroform,1.48,1,0.001,119.38,0,-63.5,60.6,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Carbon Tetrachloride,Inorganic,Liquid,1,Carbon Tetrachloride,Carbon Tetrachloride,Carbon Tetrachloride,1.594,1,0.001,153.82,0,-22.9,76.7,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Dichloromethane,Organic,Liquid,1,Dichloromethane,Dichloromethane,Dichloromethane,1.33,1,0.001,84.93,0,-97.4,40,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
"1,2-Dichloroethane",Organic,Liquid,1,"1,2-Dichloroethane","1,2-Dichloroethane","1,2-Dichloroethane",1.25,1,0.001,98.96,0,-35.7,83.5,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Vinyl Chloride,Organic,Gas,1,Vinyl Chloride,Vinyl Chloride,Vinyl Chloride,0.002,1,0.001,62.5,0,-153.8,-13.4,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
"1,1-Dichloroethylene",Organic,Liquid,1,"1,1-Dichloroethylene","1,1-Dichloroethylene","1,1-Dichloroethylene",1.21,1,0.001,96.94,0,-122.5,31.7,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Methylamine,Organic,Gas,1,Methylamine,Methylamine,Methylamine,0.001,1,0.001,31.06,0,-93.5,-6.3,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Ethylamine,Organic,Liquid,1,Ethylamine,Ethylamine,Ethylamine,0.69,1,0.001,45.08,0,-81,16.6,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Dimethylamine,Organic,Gas,1,Dimethylamine,Dimethylamine,Dimethylamine,0.001,1,0.001,45.08,0,-92.2,7,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Trimethylamine,Organic,Gas,1,Trimethylamine,Trimethylamine,Trimethylamine,0.001,1,0.001,59.11,0,-117.2,3,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Triethylamine,Organic,Liquid,1,Triethylamine,Triethylamine,Triethylamine,0.73,1,0.001,101.19,0,-114.7,89,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Acetonitrile,Organic,Liquid,1,Acetonitrile,Acetonitrile,Acetonitrile,0.79,1,0.001,41.05,0,-43.8,81.6,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Acrylonitrile,Organic,Liquid,1,Acrylonitrile,Acrylonitrile,Acrylonitrile,0.8,1,0.001,53.06,0,-83.5,77.3,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Hydrochloric Acid,Inorganic,Liquid,1,Hydrochloric Acid,Hydrochloric Acid,Hydrochloric Acid,1.18,1,0.001,36.46,0,-27.3,110,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Sulfuric Acid,Inorganic,Liquid,1,Sulfuric Acid,Sulfuric Acid,Sulfuric Acid,1.84,1,0.001,98.08,0,10,337,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Nitric Acid,Inorganic,Liquid,1,Nitric Acid,Nitric Acid,Nitric Acid,1.51,1,0.001,63.01,0,-42,83,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
