Chemical,Type,State,Available,RName,CName,DName,Density1,Density2,Density3,Mm,Sol,Mp,Bp,KH,color1,alpha1,color2,alpha2,color3,alpha3,color4,alpha4,friction,restitution,JPN,CHN,TW,KR,Solk,MOH,KOH,MH,PTN
Nitrogen Dioxide,Gas,0,1,Nitrogen Dioxide,Nitrogen Dioxide,Nitrogen Dioxide,0.002,1,0.001,46.01,0,-11.2,21,0.1,0xFF6347,0.9,0xFF6347,0.9,0xFF6347,0.9,0xFF6347,0.9,0.4,0.3,,,,,0,0,0,0,0
Nitrogen Monoxide,Gas,0,1,Nitrogen Monoxide,Nitrogen Monoxide,Nitrogen Monoxide,0.001,1,0.001,30.01,0,-163.6,-151.8,0.1,0xD3D3D3,0.5,0xD3D3D3,0.5,0xD3D3D3,0.5,0xD3D3D3,0.5,0.4,0.3,,,,,0,0,0,0,0
Argon,Gas,0,1,Argon,Argon,Argon,0.001,1,0.001,39.95,0,-189.3,-185.9,0.1,0xE8F4F8,0.4,0xE8F4F8,0.4,0xE8F4F8,0.4,0xE8F4F8,0.4,0.4,0.3,,,,,0,0,0,0,0
Diborane,Gas,0,1,Diborane,Diborane,Diborane,0.001,1,0.001,27.67,0,-165.5,-92.5,0.1,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0.4,0.3,,,,,0,0,0,0,0
Cyanogen,Gas,0,1,Cyanogen,Cyanogen,Cyanogen,0.002,1,0.001,52.03,0,-27.9,-21.2,0.1,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0.4,0.3,,,,,0,0,0,0,0
Cyanogen Chloride,Gas,0,1,Cyanogen Chloride,Cyanogen Chloride,Cyanogen Chloride,0.001,1,0.001,61.47,0,-6.5,13.1,0.1,0xE8F4F8,0.6,0xE8F4F8,0.6,0xE8F4F8,0.6,0xE8F4F8,0.6,0.4,0.3,,,,,0,0,0,0,0
Boron Tribromide,Gas,0,1,Boron Tribromide,Boron Tribromide,Boron Tribromide,0.003,1,0.001,250.52,0,-46,91.7,0.1,0xD2B48C,0.7,0xD2B48C,0.7,0xD2B48C,0.7,0xD2B48C,0.7,0.4,0.3,,,,,0,0,0,0,0
Boron Trichloride,Gas,0,1,Boron Trichloride,Boron Trichloride,Boron Trichloride,0.005,1,0.001,117.17,0,-107.3,12.5,0.1,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0.4,0.3,,,,,0,0,0,0,0
Boron Trifluoride,Gas,0,1,Boron Trifluoride,Boron Trifluoride,Boron Trifluoride,0.003,1,0.001,67.81,0,-126.7,-99.9,0.1,0xE8F4F8,0.4,0xE8F4F8,0.4,0xE8F4F8,0.4,0xE8F4F8,0.4,0.4,0.3,,,,,0,0,0,0,0
Bromomethane,Gas,0,1,Bromomethane,Bromomethane,Bromomethane,0.003,1,0.001,94.94,0,-93.7,3.6,0.1,0xD3D3D3,0.6,0xD3D3D3,0.6,0xD3D3D3,0.6,0xD3D3D3,0.6,0.4,0.3,,,,,0,0,0,0,0
Chloroethane,Gas,0,1,Chloroethane,Chloroethane,Chloroethane,0.002,1,0.001,64.51,0,-138.4,12.3,0.1,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0.4,0.3,,,,,0,0,0,0,0
Chloroethylene,Gas,0,1,Chloroethylene,Chloroethylene,Chloroethylene,0.002,1,0.001,62.5,0,-153.8,-13.4,0.1,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0.4,0.3,,,,,0,0,0,0,0
Chloromethane,Gas,0,1,Chloromethane,Chloromethane,Chloromethane,0.002,1,0.001,50.49,0,-97.6,-24.1,0.1,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0.4,0.3,,,,,0,0,0,0,0
Chlorine Dioxide,Gas,0,1,Chlorine Dioxide,Chlorine Dioxide,Chlorine Dioxide,0.003,1,0.001,67.45,0,-59,11,0.1,0xFFD700,0.8,0xFFD700,0.8,0xFFD700,0.8,0xFFD700,0.8,0.4,0.3,,,,,0,0,0,0,0
Chlorine Trifluoride,Gas,0,1,Chlorine Trifluoride,Chlorine Trifluoride,Chlorine Trifluoride,0.004,1,0.001,92.45,0,-76.3,11.8,0.1,0xFFFACD,0.8,0xFFFACD,0.8,0xFFFACD,0.8,0xFFFACD,0.8,0.4,0.3,,,,,0,0,0,0,0
Dimethyl Ether,Gas,0,1,Dimethyl Ether,Dimethyl Ether,Dimethyl Ether,0.002,1,0.001,46.07,0,-141.5,-24.8,0.1,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0.4,0.3,,,,,0,0,0,0,0
Ethyl Chloride,Gas,0,1,Ethyl Chloride,Ethyl Chloride,Ethyl Chloride,0.002,1,0.001,64.51,0,-138.4,12.3,0.1,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0.4,0.3,,,,,0,0,0,0,0
Ethyl Nitrite,Gas,0,1,Ethyl Nitrite,Ethyl Nitrite,Ethyl Nitrite,0.9,1,0.001,75.07,0,-50,17.2,0.1,0xE8F4F8,0.6,0xE8F4F8,0.6,0xE8F4F8,0.6,0xE8F4F8,0.6,0.4,0.3,,,,,0,0,0,0,0
Ethylene Oxide,Gas,0,1,Ethylene Oxide,Ethylene Oxide,Ethylene Oxide,0.001,1,0.001,44.05,0,-111.3,10.6,0.1,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0.4,0.3,,,,,0,0,0,0,0
Deuterium,Gas,0,1,Deuterium,Deuterium,Deuterium,0.001,1,0.001,4.03,0,-254.5,-249.7,0.1,0xFFFFFF,0.3,0xFFFFFF,0.3,0xFFFFFF,0.3,0xFFFFFF,0.3,0.4,0.3,,,,,0,0,0,0,0
Butadiene,Gas,0,1,Butadiene,Butadiene,Butadiene,0.001,1,0.001,54.09,0,-109,-4.4,0.1,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0.4,0.3,,,,,0,0,0,0,0
Formaldehyde,Gas,0,1,Formaldehyde,Formaldehyde,Formaldehyde,0.815,1,0.001,30.03,0,-92,-19.1,0.1,0xE8F4F8,0.6,0xE8F4F8,0.6,0xE8F4F8,0.6,0xE8F4F8,0.6,0.4,0.3,,,,,0,0,0,0,0
Methylamine,Gas,0,1,Methylamine,Methylamine,Methylamine,0.001,1,0.001,31.06,0,-93.5,-6.3,0.1,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0.4,0.3,,,,,0,0,0,0,0
Dimethylamine,Gas,0,1,Dimethylamine,Dimethylamine,Dimethylamine,0.001,1,0.001,45.08,0,-92.2,7,0.1,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0.4,0.3,,,,,0,0,0,0,0
Trimethylamine,Gas,0,1,Trimethylamine,Trimethylamine,Trimethylamine,0.001,1,0.001,59.11,0,-117.2,3,0.1,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0.4,0.3,,,,,0,0,0,0,0
Vinyl Chloride,Gas,0,1,Vinyl Chloride,Vinyl Chloride,Vinyl Chloride,0.002,1,0.001,62.5,0,-153.8,-13.4,0.1,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0xE8F4F8,0.5,0.4,0.3,,,,,0,0,0,0,0
Hexane,Liquid,0,1,Hexane,Hexane,Hexane,0.659,1,0.001,86.18,0,-95.3,68.7,0.1,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0.4,0.3,,,,,0,0,0,0,0
Heptane,Liquid,0,1,Heptane,Heptane,Heptane,0.684,1,0.001,100.2,0,-90.6,98.4,0.1,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0.4,0.3,,,,,0,0,0,0,0
Octane,Liquid,0,1,Octane,Octane,Octane,0.703,1,0.001,114.23,0,-56.8,125.7,0.1,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0.4,0.3,,,,,0,0,0,0,0
Nonane,Liquid,0,1,Nonane,Nonane,Nonane,0.718,1,0.001,128.25,0,-64,150.8,0.1,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0.4,0.3,,,,,0,0,0,0,0
Decane,Liquid,0,1,Decane,Decane,Decane,0.73,1,0.001,142.29,0,-29.7,174.1,0.1,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0.4,0.3,,,,,0,0,0,0,0
Undecane,Liquid,0,1,Undecane,Undecane,Undecane,0.74,1,0.001,156.31,0,-25.5,195.9,0.1,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0.4,0.3,,,,,0,0,0,0,0
Dodecane,Liquid,0,1,Dodecane,Dodecane,Dodecane,0.75,1,0.001,170.33,0,-9.6,216.3,0.1,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0.4,0.3,,,,,0,0,0,0,0
Tridecane,Liquid,0,1,Tridecane,Tridecane,Tridecane,0.76,1,0.001,184.36,0,-5.4,235.5,0.1,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0.4,0.3,,,,,0,0,0,0,0
Tetradecane,Liquid,0,1,Tetradecane,Tetradecane,Tetradecane,0.76,1,0.001,198.39,0,5.9,253.5,0.1,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0.4,0.3,,,,,0,0,0,0,0
Pentadecane,Liquid,0,1,Pentadecane,Pentadecane,Pentadecane,0.77,1,0.001,212.41,0,10,270.5,0.1,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0.4,0.3,,,,,0,0,0,0,0
Hexadecane,Liquid,0,1,Hexadecane,Hexadecane,Hexadecane,0.77,1,0.001,226.44,0,18.2,287,0.1,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0.4,0.3,,,,,0,0,0,0,0
Heptadecane,Liquid,0,1,Heptadecane,Heptadecane,Heptadecane,0.77,1,0.001,240.46,0,22,303,0.1,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0.4,0.3,,,,,0,0,0,0,0
Octadecane,Liquid,0,1,Octadecane,Octadecane,Octadecane,0.78,1,0.001,254.49,0,28.2,316.7,0.1,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0.4,0.3,,,,,0,0,0,0,0
Nonadecane,Liquid,0,1,Nonadecane,Nonadecane,Nonadecane,0.78,1,0.001,268.52,0,32,330,0.1,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0.4,0.3,,,,,0,0,0,0,0
Eicosane,Liquid,0,1,Eicosane,Eicosane,Eicosane,0.79,1,0.001,282.55,0,36.8,343,0.1,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0.4,0.3,,,,,0,0,0,0,0
Pentene,Liquid,0,1,Pentene,Pentene,Pentene,0.64,1,0.001,70.13,0,-165.2,30,0.1,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0.4,0.3,,,,,0,0,0,0,0
Hexene,Liquid,0,1,Hexene,Hexene,Hexene,0.67,1,0.001,84.16,0,-139.8,63.5,0.1,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0.4,0.3,,,,,0,0,0,0,0
Heptene,Liquid,0,1,Heptene,Heptene,Heptene,0.7,1,0.001,98.19,0,-119,93.6,0.1,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0.4,0.3,,,,,0,0,0,0,0
Octene,Liquid,0,1,Octene,Octene,Octene,0.71,1,0.001,112.21,0,-101.7,122.5,0.1,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0xE0F7FA,0.4,0.4,0.3,,,,,0,0,0,0,0
Methanol,Liquid,0,1,Methanol,Methanol,Methanol,0.792,1,0.001,32.04,0,-97.6,64.7,0.1,0xFFF8DC,0.3,0xFFF8DC,0.3,0xFFF8DC,0.3,0xFFF8DC,0.3,0.4,0.3,,,,,0,0,0,0,0
Ethanol,Liquid,0,1,Ethanol,Ethanol,Ethanol,0.789,1,0.001,46.07,0,-114.1,78.37,0.1,0xFFF8DC,0.3,0xFFF8DC,0.3,0xFFF8DC,0.3,0xFFF8DC,0.3,0.4,0.3,,,,,0,0,0,0,0
Propanol,Liquid,0,1,Propanol,Propanol,Propanol,0.804,1,0.001,60.1,0,-126.2,97.2,0.1,0xFFF8DC,0.3,0xFFF8DC,0.3,0xFFF8DC,0.3,0xFFF8DC,0.3,0.4,0.3,,,,,0,0,0,0,0
Isopropyl Alcohol,Liquid,0,1,Isopropyl Alcohol,Isopropyl Alcohol,Isopropyl Alcohol,0.786,1,0.001,60.1,0,-89.5,82.6,0.1,0xFFF8DC,0.3,0xFFF8DC,0.3,0xFFF8DC,0.3,0xFFF8DC,0.3,0.4,0.3,,,,,0,0,0,0,0
Butanol,Liquid,0,1,Butanol,Butanol,Butanol,0.81,1,0.001,74.12,0,-89.5,117.7,0.1,0xFFF8DC,0.35,0xFFF8DC,0.35,0xFFF8DC,0.35,0xFFF8DC,0.35,0.4,0.3,,,,,0,0,0,0,0
Isobutyl Alcohol,Liquid,0,1,Isobutyl Alcohol,Isobutyl Alcohol,Isobutyl Alcohol,0.802,1,0.001,74.12,0,-108,107.9,0.1,0xFFF8DC,0.35,0xFFF8DC,0.35,0xFFF8DC,0.35,0xFFF8DC,0.35,0.4,0.3,,,,,0,0,0,0,0
Tert-Butyl Alcohol,Liquid,0,1,Tert-Butyl Alcohol,Tert-Butyl Alcohol,Tert-Butyl Alcohol,0.786,1,0.001,74.12,0,25.7,82.4,0.1,0xFFF8DC,0.35,0xFFF8DC,0.35,0xFFF8DC,0.35,0xFFF8DC,0.35,0.4,0.3,,,,,0,0,0,0,0
Pentanol,Liquid,0,1,Pentanol,Pentanol,Pentanol,0.81,1,0.001,88.15,0,-79,138,0.1,0xFFF8DC,0.4,0xFFF8DC,0.4,0xFFF8DC,0.4,0xFFF8DC,0.4,0.4,0.3,,,,,0,0,0,0,0
Hexanol,Liquid,0,1,Hexanol,Hexanol,Hexanol,0.82,1,0.001,102.17,0,-52,157,0.1,0xFFF8DC,0.4,0xFFF8DC,0.4,0xFFF8DC,0.4,0xFFF8DC,0.4,0.4,0.3,,,,,0,0,0,0,0
Heptanol,Liquid,0,1,Heptanol,Heptanol,Heptanol,0.82,1,0.001,116.2,0,-34,176,0.1,0xFFF8DC,0.4,0xFFF8DC,0.4,0xFFF8DC,0.4,0xFFF8DC,0.4,0.4,0.3,,,,,0,0,0,0,0
Octanol,Liquid,0,1,Octanol,Octanol,Octanol,0.83,1,0.001,130.23,0,-15,195,0.1,0xFFF8DC,0.4,0xFFF8DC,0.4,0xFFF8DC,0.4,0xFFF8DC,0.4,0.4,0.3,,,,,0,0,0,0,0
Nonanol,Liquid,0,1,Nonanol,Nonanol,Nonanol,0.83,1,0.001,144.25,0,-5,214,0.1,0xFFF8DC,0.4,0xFFF8DC,0.4,0xFFF8DC,0.4,0xFFF8DC,0.4,0.4,0.3,,,,,0,0,0,0,0
Decanol,Liquid,0,1,Decanol,Decanol,Decanol,0.83,1,0.001,158.28,0,7,232,0.1,0xFFF8DC,0.4,0xFFF8DC,0.4,0xFFF8DC,0.4,0xFFF8DC,0.4,0.4,0.3,,,,,0,0,0,0,0
Glycol,Liquid,0,1,Glycol,Glycol,Glycol,1.11,1,0.001,62.07,0,-13,197.3,0.1,0xFFF8DC,0.4,0xFFF8DC,0.4,0xFFF8DC,0.4,0xFFF8DC,0.4,0.4,0.3,,,,,0,0,0,0,0
Glycerol,Liquid,0,1,Glycerol,Glycerol,Glycerol,1.261,1,0.001,92.09,0,17.8,290,0.1,0xFFF8DC,0.5,0xFFF8DC,0.5,0xFFF8DC,0.5,0xFFF8DC,0.5,0.4,0.3,,,,,0,0,0,0,0
Allyl Alcohol,Liquid,0,1,Allyl Alcohol,Allyl Alcohol,Allyl Alcohol,0.854,1,0.001,58.08,0,-129,97,0.1,0xFFF8DC,0.35,0xFFF8DC,0.35,0xFFF8DC,0.35,0xFFF8DC,0.35,0.4,0.3,,,,,0,0,0,0,0
Ethanolamine,Liquid,0,1,Ethanolamine,Ethanolamine,Ethanolamine,1.02,1,0.001,61.08,0,10.3,171,0.1,0xFFF8DC,0.4,0xFFF8DC,0.4,0xFFF8DC,0.4,0xFFF8DC,0.4,0.4,0.3,,,,,0,0,0,0,0
Diethanolamine,Liquid,0,1,Diethanolamine,Diethanolamine,Diethanolamine,1.09,1,0.001,105.14,0,28,269,0.1,0xFFF8DC,0.5,0xFFF8DC,0.5,0xFFF8DC,0.5,0xFFF8DC,0.5,0.4,0.3,,,,,0,0,0,0,0
Ethylene Glycol,Liquid,0,1,Ethylene Glycol,Ethylene Glycol,Ethylene Glycol,1.11,1,0.001,62.07,0,-13,197.3,0.1,0xFFF8DC,0.4,0xFFF8DC,0.4,0xFFF8DC,0.4,0xFFF8DC,0.4,0.4,0.3,,,,,0,0,0,0,0
Diethylene Glycol,Liquid,0,1,Diethylene Glycol,Diethylene Glycol,Diethylene Glycol,1.12,1,0.001,106.12,0,-8,245,0.1,0xFFF8DC,0.4,0xFFF8DC,0.4,0xFFF8DC,0.4,0xFFF8DC,0.4,0.4,0.3,,,,,0,0,0,0,0
Acetone,Liquid,0,1,Acetone,Acetone,Acetone,0.784,1,0.001,58.08,0,-94.9,56.08,0.1,0xF5F5F5,0.25,0xF5F5F5,0.25,0xF5F5F5,0.25,0xF5F5F5,0.25,0.4,0.3,,,,,0,0,0,0,0
Methyl Ethyl Ketone,Liquid,0,1,Methyl Ethyl Ketone,Methyl Ethyl Ketone,Methyl Ethyl Ketone,0.8,1,0.001,72.11,0,-86,79.6,0.1,0xF5F5F5,0.25,0xF5F5F5,0.25,0xF5F5F5,0.25,0xF5F5F5,0.25,0.4,0.3,,,,,0,0,0,0,0
Diethyl Ketone,Liquid,0,1,Diethyl Ketone,Diethyl Ketone,Diethyl Ketone,0.81,1,0.001,86.13,0,-42,102.7,0.1,0xF5F5F5,0.25,0xF5F5F5,0.25,0xF5F5F5,0.25,0xF5F5F5,0.25,0.4,0.3,,,,,0,0,0,0,0
Acetophenone,Liquid,0,1,Acetophenone,Acetophenone,Acetophenone,1.03,1,0.001,120.15,0,19.6,202,0.1,0xFFFACD,0.4,0xFFFACD,0.4,0xFFFACD,0.4,0xFFFACD,0.4,0.4,0.3,,,,,0,0,0,0,0
Cyclohexanone,Liquid,0,1,Cyclohexanone,Cyclohexanone,Cyclohexanone,0.95,1,0.001,98.14,0,-16.4,155,0.1,0xF5F5F5,0.3,0xF5F5F5,0.3,0xF5F5F5,0.3,0xF5F5F5,0.3,0.4,0.3,,,,,0,0,0,0,0
Formic Acid,Liquid,0,1,Formic Acid,Formic Acid,Formic Acid,1.22,1,0.001,46.03,0,8.4,100.8,0.1,0xF5F5F5,0.3,0xF5F5F5,0.3,0xF5F5F5,0.3,0xF5F5F5,0.3,0.4,0.3,,,,,0,0,0,0,0
Acetic Acid,Liquid,0,1,Acetic Acid,Acetic Acid,Acetic Acid,1.049,1,0.001,60.05,0,16.6,118.1,0.1,0xF5F5F5,0.3,0xF5F5F5,0.3,0xF5F5F5,0.3,0xF5F5F5,0.3,0.4,0.3,,,,,0,0,0,0,0
Propionic Acid,Liquid,0,1,Propionic Acid,Propionic Acid,Propionic Acid,0.99,1,0.001,74.08,0,-20.7,141.1,0.1,0xF5F5F5,0.3,0xF5F5F5,0.3,0xF5F5F5,0.3,0xF5F5F5,0.3,0.4,0.3,,,,,0,0,0,0,0
Butyric Acid,Liquid,0,1,Butyric Acid,Butyric Acid,Butyric Acid,0.964,1,0.001,88.11,0,-7.9,163.5,0.1,0xF5F5F5,0.3,0xF5F5F5,0.3,0xF5F5F5,0.3,0xF5F5F5,0.3,0.4,0.3,,,,,0,0,0,0,0
Valeric Acid,Liquid,0,1,Valeric Acid,Valeric Acid,Valeric Acid,0.939,1,0.001,102.13,0,-34.5,186,0.1,0xF5F5F5,0.3,0xF5F5F5,0.3,0xF5F5F5,0.3,0xF5F5F5,0.3,0.4,0.3,,,,,0,0,0,0,0
Caproic Acid,Liquid,0,1,Caproic Acid,Caproic Acid,Caproic Acid,0.93,1,0.001,116.16,0,-3,205,0.1,0xF5F5F5,0.35,0xF5F5F5,0.35,0xF5F5F5,0.35,0xF5F5F5,0.35,0.4,0.3,,,,,0,0,0,0,0
Methyl Acetate,Liquid,0,1,Methyl Acetate,Methyl Acetate,Methyl Acetate,0.93,1,0.001,74.08,0,-98.1,56.9,0.1,0xF0F8FF,0.3,0xF0F8FF,0.3,0xF0F8FF,0.3,0xF0F8FF,0.3,0.4,0.3,,,,,0,0,0,0,0
Ethyl Acetate,Liquid,0,1,Ethyl Acetate,Ethyl Acetate,Ethyl Acetate,0.9,1,0.001,88.11,0,-83.6,77.1,0.1,0xF0F8FF,0.3,0xF0F8FF,0.3,0xF0F8FF,0.3,0xF0F8FF,0.3,0.4,0.3,,,,,0,0,0,0,0
Propyl Acetate,Liquid,0,1,Propyl Acetate,Propyl Acetate,Propyl Acetate,0.89,1,0.001,102.13,0,-95,101.5,0.1,0xF0F8FF,0.3,0xF0F8FF,0.3,0xF0F8FF,0.3,0xF0F8FF,0.3,0.4,0.3,,,,,0,0,0,0,0
