,,,,,,,,,,MM,Sol,Mp,Bp,K,,,,,,,,,,,,,,,,,,,,
C4H9Br,Organic,0,2,2-bromobutane,C4H9Br,C4H9Br,1,1.23,0.001,137.02,0.0,-112.7,91,718,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C5H12,Organic,0,2,Pentane,C5H12,C5H12,0.626,0.626,0.626,72.15,40,-129.1,36.3,2317,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,,0,0,0,0,0,0,0
C5H11Cl,Organic,0,2,Chloropentane,C5H11Cl,C5H11Cl,0.626,0.880,0.626,106.60,0,-99.0,108.0,2317,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,,0,0,0,0,0,0,0
HCHO,Organic,Aldehydes,2,Methanal,HCHO,HCHO,1.2,0.4,0.815,30.03,92,-19,-161.5,800,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水,水,水,물,0,0,0,0,0,3
CH3CHO,Organic,0,2,Acetaldehyde,CH3CHO,CH3CHO,1,1,0.784,44.05,0,-123.4,20.2,500,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C2H5CHO,Organic,0,2,Propionaldehyde,C2H5CHO,C2H5CHO,1,0.81,0.784,58.08,20,-81.0,46.0,600,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C3H7CHO,Organic,0,2,Butyraldehyde,C3H7CHO,C3H7CHO,1,0.8,0.784,72.11,8,-96.9,74.8,600,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
CH3OH,Organic,Alcohols,2,Methanol,CH3OH,CH3OH,0.792,0.792,0.000132,32.04,999999,-97.6,64.7,1000,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水,水,水,물,0,0,0,0,0,3
C2H5OH,Organic,0,2,Ethanol,C2H5OH,C2H5OH,0.789,0.789,0.789,46.07,99999,-114.3,78.4,600,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C3H7OH,Organic,0,2,1-propanol,C3H7OH,C3H7OH,0.789,0.803,0.789,60.10,99999,-126.0,97.0,600,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C2H4OH2,Organic,0,2,Ethylene glycol,C2H4OH2,(CH2OH)2,1.113,0.789,0.789,62.07,99999,-12.9,197.3,1000,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C2H5ONa,Organic,0,2,Sodium ethoxide ,C2H5ONa,C2H5ONa,0.868,1,0.00898,68.05,0.000,260.0,9999.00,1625,0xF9F3C3,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C2H5O2Mg,Organic,0,2,Magnesium ethoxide,C2H5O2Mg,(C2H5O)2Mg,1,1,0.00898,114.43,0.000,270.0,9999.00,1000,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C2H5O3Al,Organic,0,2,Aluminium triethoxide,C2H5O3Al,(C2H5O)3Al,1.142,1,0.00898,162.16,0.000,140.0,320.00,1000,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
CH3COOH,Organic,Carboxylic acid,2,Acetic acid,CH3COOH,CH3COOH,2,1.05,0.001,60.05,999999,16,118,966.04,0xFFFFFF,1,0xFFFFFF,0.12,0xFFFFFF,0,0xFFFFFF,0.06,0.5,0.15,酢酸,醋酸,醋酸,아세트산,10,0,0,2,0,1
CH3COOCH3,Organic,0,2,Methyl acetate,CH3COOCH3,CH3COOCH3,0.932,0.932,0.001,74.08,25,-98,56.9,982.00,0xFFFFFF,1,0xFFFFFF,0.12,0xFFFFFF,0,0xFFFFFF,0.06,0.5,0.15,酢酸,醋酸,醋酸,아세트산,0,0,0,2,0,1
CH3COONH4,Organic,0,2,Ammonium acetate,CH3COONH4,CH3COONH4,1.073,0.932,0.001,77.08,140,113,99999,982.00,0xFFFFFF,0.8,0xFFFFFF,0.12,0xFFFFFF,0,0xFFFFFF,0.06,0.5,0.15,酢酸,醋酸,醋酸,아세트산,0,0,0,2,0,1
CH3COOC2H5,Organic,0,2,Ethyl acetate,CH3COOC2H5,CH3COOC2H5,0.902,0.902,0.001,88.11,8.3,-83.6,77.1,1000.00,0xFFFFFF,1,0xFFFFFF,0.12,0xFFFFFF,0,0xFFFFFF,0.06,0.5,0.15,酢酸,醋酸,醋酸,아세트산,0,0,0,2,0,1
CH3COO2Cu,Organic,0,2,Copper(II) acetate,CH3COO2Cu,(CH3COO)2Cu,1.882,1.4,0.001,181.63,0,120,240,700.00,0x0A7681,1,0xFFFFFF,0.12,0xFFFFFF,0,0xFFFFFF,0.06,0.5,0.15,酢酸,醋酸,醋酸,아세트산,0,0,0,2,0,1
CH3COO2Mg,Organic,0,2,Magnesium acetate,CH3COO2Mg,(CH3COO)2Mg,1.45,1.4,0.001,142.40,999999,80,9999,700.00,0xFFFFFF,0.6,0xFFFFFF,0.12,0xFFFFFF,0,0xFFFFFF,0.06,0.5,0.15,酢酸,醋酸,醋酸,아세트산,0,0,0,2,0,1
CH3COO2Ca,Organic,0,2,Calcium acetate,CH3COO2Ca,(CH3COO)2Ca,1.509,1.4,0.001,158.17,34.7,160,9999,700.00,0xFFFFFF,0.6,0xFFFFFF,0.12,0xFFFFFF,0,0xFFFFFF,0.06,0.5,0.15,酢酸,醋酸,醋酸,아세트산,0,0,0,2,0,1
CH3COO2Zn,Organic,0,2,Zinc acetate,CH3COO2Zn,(CH3COO)2Zn,1.735,1.4,0.001,183.48,0,237,9999,700.00,0xFFFFFF,0.6,0xFFFFFF,0.12,0xFFFFFF,0,0xFFFFFF,0.06,0.5,0.15,酢酸,醋酸,醋酸,아세트산,0,0,0,2,0,1
CH3COO2Fe,Organic,0,2,Iron(II) acetate,CH3COO2Fe,(CH3COO)2Fe,1.734,1.4,0.001,173.93,999999,190,9999,700.00,0xFFFFFF,0.8,0xFFFFFF,0.12,0xFFFFFF,0,0xFFFFFF,0.06,0.5,0.15,酢酸,醋酸,醋酸,아세트산,0,0,0,2,0,1
CH3COONa,Organic,0,2,Sodium acetate,CH3COONa,CH3COONa,1.528,1.4,0.001,82.03,125,324,881.4,700.00,0xFFFFFF,0.8,0xFFFFFF,0.12,0xFFFFFF,0,0xFFFFFF,0.06,0.5,0.15,酢酸,醋酸,醋酸,아세트산,0,0,0,2,0,1
C6H6,Organic,Cyclic compounds,2,Benzene,C6H6,C6H6,0.876,0.876,0.876,78.11,0.2,5.53,80.1,1717,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C6H5Br,Organic,0,2,Bromobenzene,C6H5Br,C6H5Br,1.495,1.495,1.495,157.01,0.041,-30.8,156,2000,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C6H5Cl,Organic,0,2,Chlorobenzene,C6H5Cl,C6H5Cl,1.495,1.110,1.495,112.56,0.050,-45.0,131,900,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C6H6O3S,Organic,0,2,Benzenesulfonic acid,C6H6O3S,C6H6O3S,1.32,1.32,1.32,158.17,99999,51,190,2000,0xFFFFFF,0.5,0xe4c970,0.45,0xFFFFFF,0,0xe4c970,0,0,0,0,0,0,0,0,0,0,0,0,0
C6H5OH,Organic,0,2,Phenol,C6H5OH,C6H5OH,1.07,1.12,0.001,94.11,8.3,40.5,181.7,1000,0xFFFFFF,0.5,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0.15,0,0,0,0,0,0,0,0,0,0,0,0
C6H5ONa,Organic,0,2,Sodium phenoxide,C6H5ONa,C6H5ONa,1.07,1.12,0.001,116.09,99999,1000,2000,1000,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0.15,0,0,0,0,0,0,0,0,0,0,0,0
C6H5NO2,Organic,0,2,Nitrobenzene,C6H5NO2,C6H5NO2,1,1.12,0.001,123.06,0.19,5.7,210.9,1000,0xFFFFFF,1,0xFFFFFF,0.45,0xFFFFFF,0,0xFFFFFF,0.15,0,0,0,0,0,0,0,0,0,0,0,0
C6H3Br3O,Organic,0,2,Tribromophenol,C6H3Br3O,C6H3Br3O,1,1.12,0.001,330.8,0.1,95.5,244,1000,0xFFFFFF,0.4,0xFFFFFF,0.45,0xFFFFFF,0,0xFFFFFF,0.15,0,0,0,0,0,0,0,0,0,0,0,0
C6H3N3O7,Organic,0,2,Trinitrophenol,C6H3N3O7,C6H3N3O7,1.736,1.12,0.001,229.1,1.27,122.5,300,1000,0xFFFFCC,1,0xFFFFFF,0.45,0xFFFFFF,0,0xFFFFFF,0.15,0,0,0,0,0,0,0,0,0,0,0,0
C6H12,Organic,0,2,Cyclohexane,C6H12,C6H12,0.778,0.778,0.001,84.16,0,6.47,80.7,1717,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C7H8,Organic,0,2,Toluene,C7H8,C7H8,0.87,0.87,0.001,92.14,0,-95,111,500,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0.15,0,0,0,0,0,0,0,0,0,0,0,0
C7H5N3O6,Organic,0,2,Trinitrotoluene,C7H5N3O6,C7H5N3O6,1.654,1.2,0.003,227.13,0.01,80.4,240,450,0xDBCCB0,1,0xDBCCB0,0.8,0xFFFFFF,0,0xFFFFFF,0.15,0,0,0,0,0,0,0,0,0,0,0,0
C6H12O6,Organic,Carbohydrate,2,C6H12O6,C6H12O6,Glucose,1.540,0.778,0.001,180.16,9090,146.00,99999.0,402,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C6H12O7,Organic,0,2,Glucose acid,C6H12O6,C6H12O7,1.533,0.778,0.001,196.16,100,100.00,99999.0,800,0xFFFFFF,0.8,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C6H15NO7,Organic,0,2,Ammonium gluconate,C6H15NO7,C6H15NO7,1.200,0.778,0.001,213.19,40,100.00,99999.0,800,0xFFFFFF,0.9,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C12H22O11,Organic,0,2,C12H22O11,C12H22O11,Sucrose,1.587,1,0.001,342.3,2000,186,1000,444,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,スクロース,蔗糖,蔗糖,자당,0,0,0,0,0,1
